Date,Td,Tm,Ty,"Qmax,m","Qmean,m","Qmin,m","Qmax,y","Qmean,y","Qmin,y",Q
1.10.2010,1,10,2010,37.4,18.25,18,476,68.57,9.37,18
2.10.2010,2,10,2010,37.4,18.25,18,476,68.57,9.37,18
3.10.2010,3,10,2010,37.4,18.25,18,476,68.57,9.37,18.4
4.10.2010,4,10,2010,37.4,18.25,18,476,68.57,9.37,19.2
5.10.2010,5,10,2010,37.4,18.25,18,476,68.57,9.37,20.1
6.10.2010,6,10,2010,37.4,18.25,18,476,68.57,9.37,20.1
7.10.2010,7,10,2010,37.4,18.25,18,476,68.57,9.37,20.1
8.10.2010,8,10,2010,37.4,18.25,18,476,68.57,9.37,21.8
9.10.2010,9,10,2010,37.4,18.25,18,476,68.57,9.37,21.8
10.10.2010,10,10,2010,37.4,18.25,18,476,68.57,9.37,22.6
11.10.2010,11,10,2010,37.4,18.25,18,476,68.57,9.37,23.5
12.10.2010,12,10,2010,37.4,18.25,18,476,68.57,9.37,24
13.10.2010,13,10,2010,37.4,18.25,18,476,68.57,9.37,24
14.10.2010,14,10,2010,37.4,18.25,18,476,68.57,9.37,24
15.10.2010,15,10,2010,37.4,18.25,18,476,68.57,9.37,25.6
16.10.2010,16,10,2010,37.4,18.25,18,476,68.57,9.37,27.2
17.10.2010,17,10,2010,37.4,18.25,18,476,68.57,9.37,27.2
18.10.2010,18,10,2010,37.4,18.25,18,476,68.57,9.37,28.8
19.10.2010,19,10,2010,37.4,18.25,18,476,68.57,9.37,36.7
20.10.2010,20,10,2010,37.4,18.25,18,476,68.57,9.37,37.4
21.10.2010,21,10,2010,37.4,18.25,18,476,68.57,9.37,33.5
22.10.2010,22,10,2010,37.4,18.25,18,476,68.57,9.37,31.8
23.10.2010,23,10,2010,37.4,18.25,18,476,68.57,9.37,30.6
24.10.2010,24,10,2010,37.4,18.25,18,476,68.57,9.37,29.4
25.10.2010,25,10,2010,37.4,18.25,18,476,68.57,9.37,28.8
26.10.2010,26,10,2010,37.4,18.25,18,476,68.57,9.37,28.3
27.10.2010,27,10,2010,37.4,18.25,18,476,68.57,9.37,27.7
28.10.2010,28,10,2010,37.4,18.25,18,476,68.57,9.37,27.7
29.10.2010,29,10,2010,37.4,18.25,18,476,68.57,9.37,29.4
30.10.2010,30,10,2010,37.4,18.25,18,476,68.57,9.37,29.4
31.10.2010,31,10,2010,37.4,18.25,18,476,68.57,9.37,30.6
1.11.2010,1,11,2010,34.1,21.95,25.1,476,68.57,9.37,32.9
2.11.2010,2,11,2010,34.1,21.95,25.1,476,68.57,9.37,34.1
3.11.2010,3,11,2010,34.1,21.95,25.1,476,68.57,9.37,33.5
4.11.2010,4,11,2010,34.1,21.95,25.1,476,68.57,9.37,31.8
5.11.2010,5,11,2010,34.1,21.95,25.1,476,68.57,9.37,30
6.11.2010,6,11,2010,34.1,21.95,25.1,476,68.57,9.37,28.8
7.11.2010,7,11,2010,34.1,21.95,25.1,476,68.57,9.37,28.3
8.11.2010,8,11,2010,34.1,21.95,25.1,476,68.57,9.37,28.3
9.11.2010,9,11,2010,34.1,21.95,25.1,476,68.57,9.37,27.7
10.11.2010,10,11,2010,34.1,21.95,25.1,476,68.57,9.37,27.2
11.11.2010,11,11,2010,34.1,21.95,25.1,476,68.57,9.37,26.7
12.11.2010,12,11,2010,34.1,21.95,25.1,476,68.57,9.37,26.7
13.11.2010,13,11,2010,34.1,21.95,25.1,476,68.57,9.37,26.7
14.11.2010,14,11,2010,34.1,21.95,25.1,476,68.57,9.37,26.2
15.11.2010,15,11,2010,34.1,21.95,25.1,476,68.57,9.37,26.2
16.11.2010,16,11,2010,34.1,21.95,25.1,476,68.57,9.37,26.2
17.11.2010,17,11,2010,34.1,21.95,25.1,476,68.57,9.37,26.2
18.11.2010,18,11,2010,34.1,21.95,25.1,476,68.57,9.37,25.6
19.11.2010,19,11,2010,34.1,21.95,25.1,476,68.57,9.37,25.6
20.11.2010,20,11,2010,34.1,21.95,25.1,476,68.57,9.37,25.1
21.11.2010,21,11,2010,34.1,21.95,25.1,476,68.57,9.37,25.6
22.11.2010,22,11,2010,34.1,21.95,25.1,476,68.57,9.37,25.6
23.11.2010,23,11,2010,34.1,21.95,25.1,476,68.57,9.37,25.6
24.11.2010,24,11,2010,34.1,21.95,25.1,476,68.57,9.37,26.2
25.11.2010,25,11,2010,34.1,21.95,25.1,476,68.57,9.37,26.2
26.11.2010,26,11,2010,34.1,21.95,25.1,476,68.57,9.37,26.2
27.11.2010,27,11,2010,34.1,21.95,25.1,476,68.57,9.37,26.2
28.11.2010,28,11,2010,34.1,21.95,25.1,476,68.57,9.37,25.6
29.11.2010,29,11,2010,34.1,21.95,25.1,476,68.57,9.37,25.6
30.11.2010,30,11,2010,34.1,21.95,25.1,476,68.57,9.37,25.6
1.12.2010,1,12,2010,39.5,32.19,23.1,476,68.57,9.37,25.6
2.12.2010,2,12,2010,39.5,32.19,23.1,476,68.57,9.37,25.6
3.12.2010,3,12,2010,39.5,32.19,23.1,476,68.57,9.37,25.6
4.12.2010,4,12,2010,39.5,32.19,23.1,476,68.57,9.37,24.6
5.12.2010,5,12,2010,39.5,32.19,23.1,476,68.57,9.37,24.6
6.12.2010,6,12,2010,39.5,32.19,23.1,476,68.57,9.37,24.6
7.12.2010,7,12,2010,39.5,32.19,23.1,476,68.57,9.37,24
8.12.2010,8,12,2010,39.5,32.19,23.1,476,68.57,9.37,23.5
9.12.2010,9,12,2010,39.5,32.19,23.1,476,68.57,9.37,23.1
10.12.2010,10,12,2010,39.5,32.19,23.1,476,68.57,9.37,24
11.12.2010,11,12,2010,39.5,32.19,23.1,476,68.57,9.37,24.6
12.12.2010,12,12,2010,39.5,32.19,23.1,476,68.57,9.37,25.1
13.12.2010,13,12,2010,39.5,32.19,23.1,476,68.57,9.37,24.6
14.12.2010,14,12,2010,39.5,32.19,23.1,476,68.57,9.37,27.7
15.12.2010,15,12,2010,39.5,32.19,23.1,476,68.57,9.37,32.3
16.12.2010,16,12,2010,39.5,32.19,23.1,476,68.57,9.37,34.7
17.12.2010,17,12,2010,39.5,32.19,23.1,476,68.57,9.37,34.7
18.12.2010,18,12,2010,39.5,32.19,23.1,476,68.57,9.37,34.7
19.12.2010,19,12,2010,39.5,32.19,23.1,476,68.57,9.37,36.1
20.12.2010,20,12,2010,39.5,32.19,23.1,476,68.57,9.37,37.4
21.12.2010,21,12,2010,39.5,32.19,23.1,476,68.57,9.37,39.5
22.12.2010,22,12,2010,39.5,32.19,23.1,476,68.57,9.37,39.5
23.12.2010,23,12,2010,39.5,32.19,23.1,476,68.57,9.37,38.8
24.12.2010,24,12,2010,39.5,32.19,23.1,476,68.57,9.37,38.1
25.12.2010,25,12,2010,39.5,32.19,23.1,476,68.57,9.37,37.4
26.12.2010,26,12,2010,39.5,32.19,23.1,476,68.57,9.37,36.7
27.12.2010,27,12,2010,39.5,32.19,23.1,476,68.57,9.37,36.1
28.12.2010,28,12,2010,39.5,32.19,23.1,476,68.57,9.37,36.7
29.12.2010,29,12,2010,39.5,32.19,23.1,476,68.57,9.37,36.1
30.12.2010,30,12,2010,39.5,32.19,23.1,476,68.57,9.37,35.4
31.12.2010,31,12,2010,39.5,32.19,23.1,476,68.57,9.37,36.1
1.01.2011,1,1,2011,36.7,34.95,27.2,476,68.57,9.37,36.7
2.01.2011,2,1,2011,36.7,34.95,27.2,476,68.57,9.37,36.7
3.01.2011,3,1,2011,36.7,34.95,27.2,476,68.57,9.37,36.1
4.01.2011,4,1,2011,36.7,34.95,27.2,476,68.57,9.37,36.1
5.01.2011,5,1,2011,36.7,34.95,27.2,476,68.57,9.37,34.7
6.01.2011,6,1,2011,36.7,34.95,27.2,476,68.57,9.37,34.7
7.01.2011,7,1,2011,36.7,34.95,27.2,476,68.57,9.37,35.4
8.01.2011,8,1,2011,36.7,34.95,27.2,476,68.57,9.37,36.7
9.01.2011,9,1,2011,36.7,34.95,27.2,476,68.57,9.37,36.1
10.01.2011,10,1,2011,36.7,34.95,27.2,476,68.57,9.37,36.1
11.01.2011,11,1,2011,36.7,34.95,27.2,476,68.57,9.37,34.1
12.01.2011,12,1,2011,36.7,34.95,27.2,476,68.57,9.37,32.3
13.01.2011,13,1,2011,36.7,34.95,27.2,476,68.57,9.37,28.3
14.01.2011,14,1,2011,36.7,34.95,27.2,476,68.57,9.37,27.2
15.01.2011,15,1,2011,36.7,34.95,27.2,476,68.57,9.37,27.2
16.01.2011,16,1,2011,36.7,34.95,27.2,476,68.57,9.37,30
17.01.2011,17,1,2011,36.7,34.95,27.2,476,68.57,9.37,32.9
18.01.2011,18,1,2011,36.7,34.95,27.2,476,68.57,9.37,34.7
19.01.2011,19,1,2011,36.7,34.95,27.2,476,68.57,9.37,33.5
20.01.2011,20,1,2011,36.7,34.95,27.2,476,68.57,9.37,31.8
21.01.2011,21,1,2011,36.7,34.95,27.2,476,68.57,9.37,30.6
22.01.2011,22,1,2011,36.7,34.95,27.2,476,68.57,9.37,30.6
23.01.2011,23,1,2011,36.7,34.95,27.2,476,68.57,9.37,30
24.01.2011,24,1,2011,36.7,34.95,27.2,476,68.57,9.37,31.2
25.01.2011,25,1,2011,36.7,34.95,27.2,476,68.57,9.37,32.3
26.01.2011,26,1,2011,36.7,34.95,27.2,476,68.57,9.37,32.3
27.01.2011,27,1,2011,36.7,34.95,27.2,476,68.57,9.37,33.5
28.01.2011,28,1,2011,36.7,34.95,27.2,476,68.57,9.37,34.1
29.01.2011,29,1,2011,36.7,34.95,27.2,476,68.57,9.37,34.1
30.01.2011,30,1,2011,36.7,34.95,27.2,476,68.57,9.37,33.5
31.01.2011,31,1,2011,36.7,34.95,27.2,476,68.57,9.37,33.5
1.02.2011,1,2,2011,97.6,45.47,23.1,476,68.57,9.37,31.8
2.02.2011,2,2,2011,97.6,45.47,23.1,476,68.57,9.37,31.2
3.02.2011,3,2,2011,97.6,45.47,23.1,476,68.57,9.37,30
4.02.2011,4,2,2011,97.6,45.47,23.1,476,68.57,9.37,29.4
5.02.2011,5,2,2011,97.6,45.47,23.1,476,68.57,9.37,28.8
6.02.2011,6,2,2011,97.6,45.47,23.1,476,68.57,9.37,27.2
7.02.2011,7,2,2011,97.6,45.47,23.1,476,68.57,9.37,27.2
8.02.2011,8,2,2011,97.6,45.47,23.1,476,68.57,9.37,23.1
9.02.2011,9,2,2011,97.6,45.47,23.1,476,68.57,9.37,25.6
10.02.2011,10,2,2011,97.6,45.47,23.1,476,68.57,9.37,29.4
11.02.2011,11,2,2011,97.6,45.47,23.1,476,68.57,9.37,35.4
12.02.2011,12,2,2011,97.6,45.47,23.1,476,68.57,9.37,30.6
13.02.2011,13,2,2011,97.6,45.47,23.1,476,68.57,9.37,30.6
14.02.2011,14,2,2011,97.6,45.47,23.1,476,68.57,9.37,30
15.02.2011,15,2,2011,97.6,45.47,23.1,476,68.57,9.37,30.6
16.02.2011,16,2,2011,97.6,45.47,23.1,476,68.57,9.37,31.2
17.02.2011,17,2,2011,97.6,45.47,23.1,476,68.57,9.37,31.8
18.02.2011,18,2,2011,97.6,45.47,23.1,476,68.57,9.37,30.6
19.02.2011,19,2,2011,97.6,45.47,23.1,476,68.57,9.37,31.2
20.02.2011,20,2,2011,97.6,45.47,23.1,476,68.57,9.37,32.3
21.02.2011,21,2,2011,97.6,45.47,23.1,476,68.57,9.37,26.7
22.02.2011,22,2,2011,97.6,45.47,23.1,476,68.57,9.37,35.4
23.02.2011,23,2,2011,97.6,45.47,23.1,476,68.57,9.37,38.8
24.02.2011,24,2,2011,97.6,45.47,23.1,476,68.57,9.37,37.4
25.02.2011,25,2,2011,97.6,45.47,23.1,476,68.57,9.37,41.5
26.02.2011,26,2,2011,97.6,45.47,23.1,476,68.57,9.37,49.2
27.02.2011,27,2,2011,97.6,45.47,23.1,476,68.57,9.37,58.6
28.02.2011,28,2,2011,97.6,45.47,23.1,476,68.57,9.37,97.6
1.03.2011,1,3,2011,476,119.83,83.4,476,68.57,9.37,101
2.03.2011,2,3,2011,476,119.83,83.4,476,68.57,9.37,93.2
3.03.2011,3,3,2011,476,119.83,83.4,476,68.57,9.37,87.6
4.03.2011,4,3,2011,476,119.83,83.4,476,68.57,9.37,89
5.03.2011,5,3,2011,476,119.83,83.4,476,68.57,9.37,83.4
6.03.2011,6,3,2011,476,119.83,83.4,476,68.57,9.37,83.4
7.03.2011,7,3,2011,476,119.83,83.4,476,68.57,9.37,83.4
8.03.2011,8,3,2011,476,119.83,83.4,476,68.57,9.37,87.6
9.03.2011,9,3,2011,476,119.83,83.4,476,68.57,9.37,93.2
10.03.2011,10,3,2011,476,119.83,83.4,476,68.57,9.37,93.2
11.03.2011,11,3,2011,476,119.83,83.4,476,68.57,9.37,106
12.03.2011,12,3,2011,476,119.83,83.4,476,68.57,9.37,112
13.03.2011,13,3,2011,476,119.83,83.4,476,68.57,9.37,109
14.03.2011,14,3,2011,476,119.83,83.4,476,68.57,9.37,102
15.03.2011,15,3,2011,476,119.83,83.4,476,68.57,9.37,97.6
16.03.2011,16,3,2011,476,119.83,83.4,476,68.57,9.37,97.6
17.03.2011,17,3,2011,476,119.83,83.4,476,68.57,9.37,99.2
18.03.2011,18,3,2011,476,119.83,83.4,476,68.57,9.37,107
19.03.2011,19,3,2011,476,119.83,83.4,476,68.57,9.37,126
20.03.2011,20,3,2011,476,119.83,83.4,476,68.57,9.37,158
21.03.2011,21,3,2011,476,119.83,83.4,476,68.57,9.37,248
22.03.2011,22,3,2011,476,119.83,83.4,476,68.57,9.37,321
23.03.2011,23,3,2011,476,119.83,83.4,476,68.57,9.37,476
24.03.2011,24,3,2011,476,119.83,83.4,476,68.57,9.37,375
25.03.2011,25,3,2011,476,119.83,83.4,476,68.57,9.37,279
26.03.2011,26,3,2011,476,119.83,83.4,476,68.57,9.37,238
27.03.2011,27,3,2011,476,119.83,83.4,476,68.57,9.37,215
28.03.2011,28,3,2011,476,119.83,83.4,476,68.57,9.37,207
29.03.2011,29,3,2011,476,119.83,83.4,476,68.57,9.37,207
30.03.2011,30,3,2011,476,119.83,83.4,476,68.57,9.37,209
31.03.2011,31,3,2011,476,119.83,83.4,476,68.57,9.37,211
1.04.2011,1,4,2011,264,178.18,139,476,68.57,9.37,215
2.04.2011,2,4,2011,264,178.18,139,476,68.57,9.37,229
3.04.2011,3,4,2011,264,178.18,139,476,68.57,9.37,236
4.04.2011,4,4,2011,264,178.18,139,476,68.57,9.37,247
5.04.2011,5,4,2011,264,178.18,139,476,68.57,9.37,264
6.04.2011,6,4,2011,264,178.18,139,476,68.57,9.37,257
7.04.2011,7,4,2011,264,178.18,139,476,68.57,9.37,231
8.04.2011,8,4,2011,264,178.18,139,476,68.57,9.37,213
9.04.2011,9,4,2011,264,178.18,139,476,68.57,9.37,198
10.04.2011,10,4,2011,264,178.18,139,476,68.57,9.37,198
11.04.2011,11,4,2011,264,178.18,139,476,68.57,9.37,220
12.04.2011,12,4,2011,264,178.18,139,476,68.57,9.37,224
13.04.2011,13,4,2011,264,178.18,139,476,68.57,9.37,207
14.04.2011,14,4,2011,264,178.18,139,476,68.57,9.37,192
15.04.2011,15,4,2011,264,178.18,139,476,68.57,9.37,182
16.04.2011,16,4,2011,264,178.18,139,476,68.57,9.37,174
17.04.2011,17,4,2011,264,178.18,139,476,68.57,9.37,172
18.04.2011,18,4,2011,264,178.18,139,476,68.57,9.37,176
19.04.2011,19,4,2011,264,178.18,139,476,68.57,9.37,192
20.04.2011,20,4,2011,264,178.18,139,476,68.57,9.37,200
21.04.2011,21,4,2011,264,178.18,139,476,68.57,9.37,202
22.04.2011,22,4,2011,264,178.18,139,476,68.57,9.37,192
23.04.2011,23,4,2011,264,178.18,139,476,68.57,9.37,180
24.04.2011,24,4,2011,264,178.18,139,476,68.57,9.37,139
25.04.2011,25,4,2011,264,178.18,139,476,68.57,9.37,150
26.04.2011,26,4,2011,264,178.18,139,476,68.57,9.37,165
27.04.2011,27,4,2011,264,178.18,139,476,68.57,9.37,165
28.04.2011,28,4,2011,264,178.18,139,476,68.57,9.37,156
29.04.2011,29,4,2011,264,178.18,139,476,68.57,9.37,148
30.04.2011,30,4,2011,264,178.18,139,476,68.57,9.37,148
1.05.2011,1,5,2011,202,105.63,114,476,68.57,9.37,186
2.05.2011,2,5,2011,202,105.63,114,476,68.57,9.37,197
3.05.2011,3,5,2011,202,105.63,114,476,68.57,9.37,182
4.05.2011,4,5,2011,202,105.63,114,476,68.57,9.37,171
5.05.2011,5,5,2011,202,105.63,114,476,68.57,9.37,163
6.05.2011,6,5,2011,202,105.63,114,476,68.57,9.37,163
7.05.2011,7,5,2011,202,105.63,114,476,68.57,9.37,180
8.05.2011,8,5,2011,202,105.63,114,476,68.57,9.37,184
9.05.2011,9,5,2011,202,105.63,114,476,68.57,9.37,202
10.05.2011,10,5,2011,202,105.63,114,476,68.57,9.37,197
11.05.2011,11,5,2011,202,105.63,114,476,68.57,9.37,180
12.05.2011,12,5,2011,202,105.63,114,476,68.57,9.37,173
13.05.2011,13,5,2011,202,105.63,114,476,68.57,9.37,178
14.05.2011,14,5,2011,202,105.63,114,476,68.57,9.37,180
15.05.2011,15,5,2011,202,105.63,114,476,68.57,9.37,182
16.05.2011,16,5,2011,202,105.63,114,476,68.57,9.37,167
17.05.2011,17,5,2011,202,105.63,114,476,68.57,9.37,158
18.05.2011,18,5,2011,202,105.63,114,476,68.57,9.37,150
19.05.2011,19,5,2011,202,105.63,114,476,68.57,9.37,144
20.05.2011,20,5,2011,202,105.63,114,476,68.57,9.37,139
21.05.2011,21,5,2011,202,105.63,114,476,68.57,9.37,141
22.05.2011,22,5,2011,202,105.63,114,476,68.57,9.37,143
23.05.2011,23,5,2011,202,105.63,114,476,68.57,9.37,143
24.05.2011,24,5,2011,202,105.63,114,476,68.57,9.37,152
25.05.2011,25,5,2011,202,105.63,114,476,68.57,9.37,146
26.05.2011,26,5,2011,202,105.63,114,476,68.57,9.37,135
27.05.2011,27,5,2011,202,105.63,114,476,68.57,9.37,126
28.05.2011,28,5,2011,202,105.63,114,476,68.57,9.37,123
29.05.2011,29,5,2011,202,105.63,114,476,68.57,9.37,119
30.05.2011,30,5,2011,202,105.63,114,476,68.57,9.37,114
31.05.2011,31,5,2011,202,105.63,114,476,68.57,9.37,114
1.06.2011,1,6,2011,123,54.32,52.6,476,68.57,9.37,112
2.06.2011,2,6,2011,123,54.32,52.6,476,68.57,9.37,109
3.06.2011,3,6,2011,123,54.32,52.6,476,68.57,9.37,112
4.06.2011,4,6,2011,123,54.32,52.6,476,68.57,9.37,123
5.06.2011,5,6,2011,123,54.32,52.6,476,68.57,9.37,110
6.06.2011,6,6,2011,123,54.32,52.6,476,68.57,9.37,102
7.06.2011,7,6,2011,123,54.32,52.6,476,68.57,9.37,93.2
8.06.2011,8,6,2011,123,54.32,52.6,476,68.57,9.37,87.6
9.06.2011,9,6,2011,123,54.32,52.6,476,68.57,9.37,80.7
10.06.2011,10,6,2011,123,54.32,52.6,476,68.57,9.37,76.9
11.06.2011,11,6,2011,123,54.32,52.6,476,68.57,9.37,80.7
12.06.2011,12,6,2011,123,54.32,52.6,476,68.57,9.37,84.8
13.06.2011,13,6,2011,123,54.32,52.6,476,68.57,9.37,90.4
14.06.2011,14,6,2011,123,54.32,52.6,476,68.57,9.37,102
15.06.2011,15,6,2011,123,54.32,52.6,476,68.57,9.37,93.2
16.06.2011,16,6,2011,123,54.32,52.6,476,68.57,9.37,93.2
17.06.2011,17,6,2011,123,54.32,52.6,476,68.57,9.37,89
18.06.2011,18,6,2011,123,54.32,52.6,476,68.57,9.37,87.6
19.06.2011,19,6,2011,123,54.32,52.6,476,68.57,9.37,90.4
20.06.2011,20,6,2011,123,54.32,52.6,476,68.57,9.37,82
21.06.2011,21,6,2011,123,54.32,52.6,476,68.57,9.37,78.2
22.06.2011,22,6,2011,123,54.32,52.6,476,68.57,9.37,73
23.06.2011,23,6,2011,123,54.32,52.6,476,68.57,9.37,68.1
24.06.2011,24,6,2011,123,54.32,52.6,476,68.57,9.37,64.6
25.06.2011,25,6,2011,123,54.32,52.6,476,68.57,9.37,59.5
26.06.2011,26,6,2011,123,54.32,52.6,476,68.57,9.37,57.5
27.06.2011,27,6,2011,123,54.32,52.6,476,68.57,9.37,55.5
28.06.2011,28,6,2011,123,54.32,52.6,476,68.57,9.37,54.5
29.06.2011,29,6,2011,123,54.32,52.6,476,68.57,9.37,53.5
30.06.2011,30,6,2011,123,54.32,52.6,476,68.57,9.37,52.6
1.07.2011,1,7,2011,51.7,20.67,24,476,68.57,9.37,51.7
2.07.2011,2,7,2011,51.7,20.67,24,476,68.57,9.37,49.9
3.07.2011,3,7,2011,51.7,20.67,24,476,68.57,9.37,49
4.07.2011,4,7,2011,51.7,20.67,24,476,68.57,9.37,45.4
5.07.2011,5,7,2011,51.7,20.67,24,476,68.57,9.37,44.5
6.07.2011,6,7,2011,51.7,20.67,24,476,68.57,9.37,41.3
7.07.2011,7,7,2011,51.7,20.67,24,476,68.57,9.37,39.8
8.07.2011,8,7,2011,51.7,20.67,24,476,68.57,9.37,37.5
9.07.2011,9,7,2011,51.7,20.67,24,476,68.57,9.37,35.4
10.07.2011,10,7,2011,51.7,20.67,24,476,68.57,9.37,35.4
11.07.2011,11,7,2011,51.7,20.67,24,476,68.57,9.37,33.3
12.07.2011,12,7,2011,51.7,20.67,24,476,68.57,9.37,32.6
13.07.2011,13,7,2011,51.7,20.67,24,476,68.57,9.37,31.3
14.07.2011,14,7,2011,51.7,20.67,24,476,68.57,9.37,34
15.07.2011,15,7,2011,51.7,20.67,24,476,68.57,9.37,39.8
