Date,Td,Tm,T,"Qmax,m","Qmean,m","Qmin,m","Qmean,y","Qmax,y","Qmin,y",Q
1.10.2014,1,10,2014,25.1,18.25,8.65,56.32,270,5.73,8.65
2.10.2014,2,10,2014,25.1,18.25,8.65,56.32,270,5.73,9.94
3.10.2014,3,10,2014,25.1,18.25,8.65,56.32,270,5.73,13.9
4.10.2014,4,10,2014,25.1,18.25,8.65,56.32,270,5.73,12.7
5.10.2014,5,10,2014,25.1,18.25,8.65,56.32,270,5.73,12.7
6.10.2014,6,10,2014,25.1,18.25,8.65,56.32,270,5.73,11.4
7.10.2014,7,10,2014,25.1,18.25,8.65,56.32,270,5.73,10.4
8.10.2014,8,10,2014,25.1,18.25,8.65,56.32,270,5.73,9.08
9.10.2014,9,10,2014,25.1,18.25,8.65,56.32,270,5.73,10.4
10.10.2014,10,10,2014,25.1,18.25,8.65,56.32,270,5.73,18.6
11.10.2014,11,10,2014,25.1,18.25,8.65,56.32,270,5.73,18.6
12.10.2014,12,10,2014,25.1,18.25,8.65,56.32,270,5.73,12.7
13.10.2014,13,10,2014,25.1,18.25,8.65,56.32,270,5.73,12
14.10.2014,14,10,2014,25.1,18.25,8.65,56.32,270,5.73,12.7
15.10.2014,15,10,2014,25.1,18.25,8.65,56.32,270,5.73,12
16.10.2014,16,10,2014,25.1,18.25,8.65,56.32,270,5.73,12.7
17.10.2014,17,10,2014,25.1,18.25,8.65,56.32,270,5.73,13.9
18.10.2014,18,10,2014,25.1,18.25,8.65,56.32,270,5.73,20.2
19.10.2014,19,10,2014,25.1,18.25,8.65,56.32,270,5.73,21.9
20.10.2014,20,10,2014,25.1,18.25,8.65,56.32,270,5.73,25.1
21.10.2014,21,10,2014,25.1,18.25,8.65,56.32,270,5.73,23.5
22.10.2014,22,10,2014,25.1,18.25,8.65,56.32,270,5.73,20.2
23.10.2014,23,10,2014,25.1,18.25,8.65,56.32,270,5.73,18.6
24.10.2014,24,10,2014,25.1,18.25,8.65,56.32,270,5.73,18.6
25.10.2014,25,10,2014,25.1,18.25,8.65,56.32,270,5.73,17
26.10.2014,26,10,2014,25.1,18.25,8.65,56.32,270,5.73,14.5
27.10.2014,27,10,2014,25.1,18.25,8.65,56.32,270,5.73,13.3
28.10.2014,28,10,2014,25.1,18.25,8.65,56.32,270,5.73,15.1
29.10.2014,29,10,2014,25.1,18.25,8.65,56.32,270,5.73,15.1
30.10.2014,30,10,2014,25.1,18.25,8.65,56.32,270,5.73,17.8
31.10.2014,31,10,2014,25.1,18.25,8.65,56.32,270,5.73,19.4
1.11.2014,1,11,2014,40.6,21.95,12.7,56.32,270,5.73,21.9
2.11.2014,2,11,2014,40.6,21.95,12.7,56.32,270,5.73,36.9
3.11.2014,3,11,2014,40.6,21.95,12.7,56.32,270,5.73,40.6
4.11.2014,4,11,2014,40.6,21.95,12.7,56.32,270,5.73,32.5
5.11.2014,5,11,2014,40.6,21.95,12.7,56.32,270,5.73,27.2
6.11.2014,6,11,2014,40.6,21.95,12.7,56.32,270,5.73,26.2
7.11.2014,7,11,2014,40.6,21.95,12.7,56.32,270,5.73,25.1
8.11.2014,8,11,2014,40.6,21.95,12.7,56.32,270,5.73,23.5
9.11.2014,9,11,2014,40.6,21.95,12.7,56.32,270,5.73,21.9
